"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (View: Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Edit","Undo","Ctrl+X U","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Help","Close User Assistance Tray","Ctrl+F4","In Dialogs"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Edit","Redo","Ctrl+X R","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Views","Show View (View: History)","Shift+Alt+Q Z","In Windows"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Delete","Delete","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Close","Ctrl+X K","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Previous Line","Ctrl+P","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Views","Show View (View: Synchronize)","Shift+Alt+Q Y","In Windows"
"Views","Show View (View: Variables)","Shift+Alt+Q V","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"File","Close","Ctrl+W","In Windows"
"Views","Show View (View: Error Log)","Shift+Alt+Q L","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Next Column","Ctrl+F","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Open External Javadoc","Shift+F2","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Views","Show View (View: Search)","Shift+Alt+Q S","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"File","Print","Esc F9","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Previous Word","Alt+B","In Windows"
"Views","Show View (View: Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Text Editing","Next Word","Alt+F","In Windows"
"File","Print","Alt+F9","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Next Line","Ctrl+N","Editing Text"
"Spy","Plug-in Spy","Shift+Alt+F2","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Text Editing","Delete to End of Line","Ctrl+K","Editing Text"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Views","Show View (View: Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Page Up","Esc V","Editing Text"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Edit","Find and Replace","Esc R","In Windows"
"Views","Show View (View: Outline)","Shift+Alt+Q O","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Edit","Undo","F9","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Views","Show View (View: Hierarchy)","Shift+Alt+Q T","In Windows"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Source","Indent Line","Ctrl+I","Editing Java Source"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"File","Save All","Ctrl+X S","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Begin Line","Ctrl+A","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing in Structured Text Editors"
"Edit","Word Completion","Alt+/","Editing Text"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Views","Show View (View: Problems)","Shift+Alt+Q X","In Windows"
"File","New","Ctrl+N","In Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Previous Column","Ctrl+B","In Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Views","Show View (View: Console)","Shift+Alt+Q C","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Help","Close User Assistance Tray","Ctrl+W","In Dialogs"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"View","Zoom Out","Ctrl+-","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Page Up","Alt+V","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Task","New Local Task","Insert","In Tasks View"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Edit","Find and Replace","Alt+R","In Windows"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Views","Show View (View: Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Task","Show Tooltip Description","F4","In Tasks View"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"Views","Show View (View: Task List)","Shift+Alt+Q K","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (View: Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Edit","Context Information","Alt+?","In Windows"
"Spy","Plug-in Spy","Shift+Alt+F1","In Dialogs and Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Help","Close User Assistance Tray","Ctrl+X K","In Dialogs"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"File","Save","Ctrl+S","In Windows"
"Edit","Redo","F10","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
